Ex-Dividend Date,Dividend,NAV,Payouts Years,Par Value
2025/02/20,0.5,22.37,4,15
2024/11/18,0.55,21.94,4,15
2024/08/16,0.55,22.82,4,15
2024/05/17,0.51,22.93,4,15
2024/02/27,0.4,21.78,4,15
2023/11/16,0.35,20.23,4,15
2023/08/16,0.35,21.30,4,15
2023/05/17,0.27,17.83,4,15
2023/02/16,0.27,16.98,4,15
2022/11/16,0.28,16.37,4,15
2022/08/16,0.28,17.07,4,15
2022/05/18,0.32,17.76,4,15
2022/02/22,0.3,19.24,4,15
2021/11/16,0.28,18.56,4,15
2021/08/17,0.3,17.67,4,15
2021/05/18,0.25,17.88,4,15
2021/02/25,0.15,17.45,4,15
2020/11/17,0.05,15.24,4,15
